consumer_type,decision,state,car_type_state,car_age_state,own_decision,car_type_decision,car_age_decision,car_type_post_decision,car_age_post_decision,count,count_state,ccp
0,0,0,1,1,0,0,0,1,1,62150.0,66466.0,0.9350645442782776
0,1,0,1,1,2,1,1,1,1,43.0,66466.0,0.0006469473114073
0,2,0,1,1,2,1,2,1,2,34.0,66466.0,0.0005115397346011
0,3,0,1,1,2,1,3,1,3,28.0,66466.0,0.0004212680167303
0,4,0,1,1,2,1,4,1,4,20.0,66466.0,0.0003009057262359
0,5,0,1,1,2,1,5,1,5,18.0,66466.0,0.0002708151536123
0,6,0,1,1,2,1,6,1,6,18.0,66466.0,0.0002708151536123
0,7,0,1,1,2,1,7,1,7,14.0,66466.0,0.0002106340083651
0,8,0,1,1,2,1,8,1,8,12.0,66466.0,0.0001805434357415
0,9,0,1,1,2,1,9,1,9,10.0,66466.0,0.0001504528631179
0,10,0,1,1,2,1,10,1,10,10.0,66466.0,0.0001504528631179
0,11,0,1,1,2,1,11,1,11,14.0,66466.0,0.0002106340083651
0,12,0,1,1,2,1,12,1,12,8.0,66466.0,0.0001203622904943
0,13,0,1,1,2,1,13,1,13,8.0,66466.0,0.0001203622904943
0,14,0,1,1,2,1,14,1,14,4.0,66466.0,6.018114524719405e-05
0,15,0,1,1,2,1,15,1,15,8.0,66466.0,0.0001203622904943
0,16,0,1,1,2,1,16,1,16,8.0,66466.0,0.0001203622904943
0,17,0,1,1,2,1,17,1,17,2.0,66466.0,3.0090572623597023e-05
0,18,0,1,1,2,1,18,1,18,8.0,66466.0,0.0001203622904943
0,19,0,1,1,2,1,19,1,19,2.0,66466.0,3.0090572623597023e-05
0,20,0,1,1,2,1,20,1,20,2.0,66466.0,3.0090572623597023e-05
0,21,0,1,1,2,1,21,1,21,,,
0,22,0,1,1,2,1,0,1,0,667.0,66466.0,0.0100352059699696
0,23,0,1,1,2,2,1,2,1,22.0,66466.0,0.0003309962988595
0,24,0,1,1,2,2,2,2,2,12.0,66466.0,0.0001805434357415
0,25,0,1,1,2,2,3,2,3,24.0,66466.0,0.0003610868714831
0,26,0,1,1,2,2,4,2,4,18.0,66466.0,0.0002708151536123
0,27,0,1,1,2,2,5,2,5,10.0,66466.0,0.0001504528631179
0,28,0,1,1,2,2,6,2,6,16.0,66466.0,0.0002407245809887
0,29,0,1,1,2,2,7,2,7,16.0,66466.0,0.0002407245809887
0,30,0,1,1,2,2,8,2,8,20.0,66466.0,0.0003009057262359
0,31,0,1,1,2,2,9,2,9,8.0,66466.0,0.0001203622904943
0,32,0,1,1,2,2,10,2,10,4.0,66466.0,6.018114524719405e-05
0,33,0,1,1,2,2,11,2,11,12.0,66466.0,0.0001805434357415
0,34,0,1,1,2,2,12,2,12,10.0,66466.0,0.0001504528631179
0,35,0,1,1,2,2,13,2,13,10.0,66466.0,0.0001504528631179
0,36,0,1,1,2,2,14,2,14,8.0,66466.0,0.0001203622904943
0,37,0,1,1,2,2,15,2,15,6.0,66466.0,9.027171787079108e-05
0,38,0,1,1,2,2,16,2,16,6.0,66466.0,9.027171787079108e-05
0,39,0,1,1,2,2,17,2,17,4.0,66466.0,6.018114524719405e-05
0,40,0,1,1,2,2,18,2,18,2.0,66466.0,3.0090572623597023e-05
0,41,0,1,1,2,2,19,2,19,6.0,66466.0,9.027171787079108e-05
0,42,0,1,1,2,2,20,2,20,4.0,66466.0,6.018114524719405e-05
0,43,0,1,1,2,2,21,2,21,4.0,66466.0,6.018114524719405e-05
0,44,0,1,1,2,2,0,2,0,255.0,66466.0,0.0038365480095086
0,45,0,1,1,2,3,1,3,1,39.0,66466.0,0.0005867661661601
0,46,0,1,1,2,3,2,3,2,43.0,66466.0,0.0006469473114073
0,47,0,1,1,2,3,3,3,3,30.0,66466.0,0.0004513585893539
0,48,0,1,1,2,3,4,3,4,27.0,66466.0,0.0004062227304185
0,49,0,1,1,2,3,5,3,5,26.0,66466.0,0.0003911774441067
0,50,0,1,1,2,3,6,3,6,18.0,66466.0,0.0002708151536123
0,51,0,1,1,2,3,7,3,7,20.0,66466.0,0.0003009057262359
0,52,0,1,1,2,3,8,3,8,16.0,66466.0,0.0002407245809887
0,53,0,1,1,2,3,9,3,9,12.0,66466.0,0.0001805434357415
0,54,0,1,1,2,3,10,3,10,10.0,66466.0,0.0001504528631179
0,55,0,1,1,2,3,11,3,11,14.0,66466.0,0.0002106340083651
0,56,0,1,1,2,3,12,3,12,10.0,66466.0,0.0001504528631179
0,57,0,1,1,2,3,13,3,13,12.0,66466.0,0.0001805434357415
0,58,0,1,1,2,3,14,3,14,8.0,66466.0,0.0001203622904943
0,59,0,1,1,2,3,15,3,15,6.0,66466.0,9.027171787079108e-05
0,60,0,1,1,2,3,16,3,16,10.0,66466.0,0.0001504528631179
0,61,0,1,1,2,3,17,3,17,6.0,66466.0,9.027171787079108e-05
0,62,0,1,1,2,3,18,3,18,6.0,66466.0,9.027171787079108e-05
0,63,0,1,1,2,3,19,3,19,4.0,66466.0,6.018114524719405e-05
0,64,0,1,1,2,3,20,3,20,,,
0,65,0,1,1,2,3,21,3,21,4.0,66466.0,6.018114524719405e-05
0,66,0,1,1,2,3,0,3,0,335.0,66466.0,0.0050401709144525
0,67,0,1,1,2,4,1,4,1,31.0,66466.0,0.0004664038756657
0,68,0,1,1,2,4,2,4,2,31.0,66466.0,0.0004664038756657
