tau,s_type,s_age,count_scrap,count,pr_scrap
1,1,1,1973.0,71651.0,0.027536252110926574
1,1,2,2854.0,75950.0,0.037577353522053984
1,1,3,3701.0,77596.0,0.04769575751327388
1,1,4,4055.0,80837.0,0.05016267303338818
1,1,5,3617.0,81284.0,0.044498302248905074
1,1,6,3734.0,79705.0,0.0468477510821153
1,1,7,3763.0,79233.0,0.04749283758030114
1,1,8,3706.0,77132.0,0.048047502981901156
1,1,9,3976.0,76756.0,0.05180051070926051
1,1,10,4325.0,76174.0,0.05677790322157166
1,1,11,3916.0,75875.0,0.05161120263591433
1,1,12,5134.0,71588.0,0.07171593004414148
1,1,13,4485.0,62140.0,0.07217573221757322
1,1,14,6769.0,54128.0,0.12505542417972215
1,1,15,5451.0,44622.0,0.12215947290574156
1,1,16,7132.0,37100.0,0.19223719676549866
1,1,17,4886.0,28611.0,0.17077347873195625
1,1,18,5272.0,20941.0,0.25175493051907744
1,1,19,3019.0,15464.0,0.19522762545266426
1,1,20,3534.0,12814.0,0.2757921023880131
1,1,21,1841.0,8437.0,0.21820552329026904
1,1,22,1718.0,5992.0,0.28671562082777036
1,1,23,994.0,4180.0,0.23779904306220095
1,2,1,1748.0,62843.0,0.027815349362697517
1,2,2,2673.0,71892.0,0.037180771156735105
1,2,3,3589.0,74616.0,0.048099603302240806
1,2,4,3874.0,78836.0,0.049139986808057236
1,2,5,3650.0,80784.0,0.045182214299861356
1,2,6,3606.0,79663.0,0.04526568168409425
1,2,7,3696.0,80731.0,0.045781669990462154
1,2,8,3790.0,78516.0,0.04827041622089765
1,2,9,3710.0,80655.0,0.04599838819664001
1,2,10,4428.0,80055.0,0.055311973018549745
1,2,11,3992.0,77398.0,0.051577560143672964
1,2,12,5437.0,74226.0,0.07324926575593457
1,2,13,4762.0,69582.0,0.06843723951596677
1,2,14,7221.0,61982.0,0.1165015649704753
1,2,15,5691.0,51984.0,0.10947599261311172
1,2,16,7682.0,41592.0,0.18469898057318715
1,2,17,4603.0,30925.0,0.14884397736459176
1,2,18,5429.0,26102.0,0.2079917247720481
1,2,19,2831.0,17838.0,0.15870613297454872
1,2,20,3411.0,13458.0,0.2534551939366919
1,2,21,1841.0,9409.0,0.195663726219577
1,2,22,1960.0,6867.0,0.2854230377166157
1,2,23,1019.0,4688.0,0.21736348122866894
1,3,1,1495.0,46393.0,0.032224689069471686
1,3,2,2105.0,49266.0,0.04272723582186498
1,3,3,2594.0,49234.0,0.05268716740463907
1,3,4,2533.0,49555.0,0.05111492281303602
1,3,5,2532.0,51463.0,0.04920039640129802
